date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:18	24890/24890	---MCZ	200	added ('OK')	text/html	etag:W/%22580873f3-613a%22	http://laread.evmet.net/html/live-preview/gallery-v2.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/gallery-v2.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:19	22216/22216	---MCZ	200	added ('OK')	text/html	etag:W/%22580873f3-56c8%22	http://laread.evmet.net/html/live-preview/gallery-v3.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/gallery-v3.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:19	24930/24930	---MCZ	200	added ('OK')	text/html	etag:W/%22580873f4-6162%22	http://laread.evmet.net/html/live-preview/gallery-v4.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/gallery-v4.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:19	13896/13896	---MCZ	200	added ('OK')	text/html	etag:W/%22580873ff-3648%22	http://laread.evmet.net/html/live-preview/about-v1.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/about-v1.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:20	13793/13793	---MCZ	200	added ('OK')	text/html	etag:W/%22580873ff-35e1%22	http://laread.evmet.net/html/live-preview/about-v2.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/about-v2.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:20	16166/16166	---MCZ	200	added ('OK')	text/html	etag:W/%2258087400-3f26%22	http://laread.evmet.net/html/live-preview/authors.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/authors.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:21	19071/19071	---MCZ	200	added ('OK')	text/html	etag:W/%22580873ff-4a7f%22	http://laread.evmet.net/html/live-preview/author-detail.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/author-detail.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:21	20322/20322	---MCZ	200	added ('OK')	text/html	etag:W/%22580873ff-4f62%22	http://laread.evmet.net/html/live-preview/archive.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/archive.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:22	17062/17062	---MCZ	200	added ('OK')	text/html	etag:W/%22580873f2-42a6%22	http://laread.evmet.net/html/live-preview/contact-v1.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/contact-v1.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:22	14377/14377	---MCZ	200	added ('OK')	text/html	etag:W/%22580873f2-3829%22	http://laread.evmet.net/html/live-preview/contact-v2.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/contact-v2.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:23	12428/12428	---MCZ	200	added ('OK')	text/html	etag:W/%22580873ff-308c%22	http://laread.evmet.net/html/live-preview/404.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/404.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:23	7818/7818	---MCZ	200	added ('OK')	text/html	etag:W/%22580873fb-1e8a%22	http://laread.evmet.net/html/live-preview/newsletter.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/newsletter.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:23	23127/23127	---MCZ	200	added ('OK')	text/html	etag:W/%22580873fe-5a57%22	http://laread.evmet.net/html/live-preview/widget.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/widget.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:24	30559/30559	---MCZ	200	added ('OK')	text/html	etag:W/%22580873fd-775f%22	http://laread.evmet.net/html/live-preview/typography-1.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/typography-1.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:24	32225/32225	---MCZ	200	added ('OK')	text/html	etag:W/%22580873fd-7de1%22	http://laread.evmet.net/html/live-preview/typography-2.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/typography-2.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
